ID,英単語,日本語訳,フレーズ(英語),フレーズ(日本語),文中の英単語,文中の日本語,備考
335,remind,動：再確認する・念押しする,remind employees about the policy,従業員に規則に関して再確認する,remind,再確認する,
336,recommendation,名：推薦,a letter of recommendation,推薦状,recommendation,推薦,
337,willing,形：～することを嫌がらない・～する気がある,Tex is willing to work overseas.,テックスは海外で働く意思がある。,willing,することを嫌がらない,
338,award,名：賞,awards ceremony,授賞式,awards,賞,
339,concentration,名：集中,a high concentration of restaurants,たくさんのレストランが集まる場所,concentration,集中,
340,permission,名：許可,without permission,許可なしに,permission,許可,
341,firm,名：会社,a family-owned firm,家族経営の会社,firm,会社,
342,enable,動：可能にする,The scholarship enabled Tex to study abroad.,奨学金のおかげでテックスは海外で勉強できた。,enabled,可能にする,
343,luggage,名：手荷物,checked luggage,預け入れ手荷物,luggage,手荷物,
344,fasten,動：結ぶ・留める,Please fasten your seatbelts.,シートベルトを締めてください。,fasten,結ぶ,
345,stapler,名：ホッチキス,Can I borrow your stapler?,ホッチキスをお借りできますか。,stapler,ホッチキス,
346,submit,動：提出する,submit a report,レポートを提出する,submit,提出する,
347,obtain,動：取得する・得る,obtain an official license,公認の免許を取得する,obtain,取得する,
348,release,動：発表する・(CD・映画等を)発売する・封切る,release the sales figures,売上数字を発表する,release,発表する,
349,readily,副：簡単に・すぐに,readily available,簡単に手に入る,readily,簡単に,
350,frequent,形：頻繁な,frequent bus services,頻繁なバスの運行,frequent,頻繁な,
351,produce,名：農産物 動：生産する,the produce section of a supermarket,スーパーの農産物売り場,produce,農産物,
352,regularly,副：定期的に,a regularly updated list,定期的に更新されるリスト,regularly,定期的に,
353,despite,前：にもかかわらず,despite the snow,雪にもかかわらず,despite,にもかかわらず,
354,merchandise,名：商品,display merchandise,商品を陳列する,merchandise,商品,
355,guidelines,名：指針・ガイドライン,the company guidelines,会社の指針,guidelines,指針,
356,annual,形：年に一度の・毎年恒例の,an annual report,年次報告書,annual,年,
357,leading,形：首位の・一流の,a leading expert,一流の専門家,leading,一流の,
358,proceed,動：進む,proceed to the boarding gate,搭乗口に進む,proceed,進む,
359,postpone,動：延期する,postpone a meeting,会議を延期する,postpone,延期する,
360,indicate,動：示す,the data indicates that,データが～を示している,indicates,示している,
361,individual,名：個人 形：個人の・個別の,each individual in the company,会社の一人一人の個人,individual,個人,
362,initial,形：初めの・当初の,the initial plan,当初の計画,initial,当初の,
363,admission,名：入場・入場料・入場許可,Admission is free for all members.,メンバーは入場無料です。,Admission,入場,
364,colleague,名：同僚,talk with a colleague,同僚と話をする,colleague,同僚,
365,secure,形：安全な 動：確保する・獲得する,secure access to the information,情報への安全なアクセス,secure,安全な,
366,limited,形：限られた,for a limited time,限られた期間,limited,限られた,
367,cancellation,名：キャンセル・取り消し,flight delays and cancellations,フライトの遅れとキャンセル,cancellations,キャンセル,
368,compete,動：競う,compete with large companies,大会社と競う,compete,競う,
369,concerning,前：～に関する,any questions concerning the order,注文に関する質問,concerning,に関する,
370,reject,動：却下する・拒否する,reject a proposal,提案を却下する,reject,却下する,
371,heavily,副：大量に・非常に頻繁に,a heavily used bus route,非常に頻繁に使われるバスの路線,heavily,非常に頻繁に,
372,potential,名：可能性 形：潜在的な,have the potential,（潜在的な）可能性がある,potential,可能性,
373,estimate,名：見積もり 動：見積もる,an estimate for the project,プロジェクトの見積もり,estimate,見積もり,
374,in-house,形：社内の 副：社内で,an in-house designer,社内のデザイナー,in-house,社内の,
375,locate,動：見つける,Tex was unable to locate the book.,テックスはその本を見つけることができなかった。,locate,見つける,
376,solution,名：解決策・解決,find a solution,解決策を見つける,solution,解決策,
377,capacity,名：（生産）能力・収容能力,production capacity,生産能力,capacity,能力,
378,barely,副：かろうじて・やっと,Tex can barely understand English.,テックスはかろうじて英語が理解できる。,barely,かろうじて,
379,departure,名：出発・逸脱,the scheduled departure date,出発予定日,departure,出発,
380,brief,形：（文章が）短い・短時間の,a brief report,短い報告書,brief,短い,
381,warranty,名：保証・保証書,a three-year warranty,3年保証,warranty,保証,
382,comparison,名：比較,a cost comparison,コストの比較,comparison,比較,
383,contribute,動：貢献する・寄付する,contribute to a team,チームに貢献する,contribute,貢献する,
384,priority,名：優先順位・優先事項,a high priority,高い優先順位,priority,優先順位,
385,consist,動：～から成る,The committee consists of five members.,委員会は5人のメンバーで構成されている。,consists,成されている,
386,extension,名：内線・延長,Call me at extension 4649.,内線4649にお電話ください。,extension,内線,
387,hospitality,名：もてなし,Thank you for your hospitality.,おもてなしに感謝します。,hospitality,もてなし,
388,mechanical,形：機械の,due to mechanical trouble,機械のトラブルが原因で,mechanical,機械の,
389,contain,動：含む・所有する,The book contains useful information.,その本には役立つ情報が含まれている。,contains,含まれている,
390,editor,名：編集者,an editor at a newspaper,新聞の編集者,editor,編集者,
391,athletic,形：運動好きの・運動選手用の,Tex is not athletic.,テックスは運動好きではない。,athletic,運動好きではない,
392,mayor,名：町長・市長,the mayor of Tex Town,テックス・タウンの町長,mayor,町長,
393,impress,動：感心させる・好印象を与える,We were impressed by his knowledge.,我々は彼の知識に感心した。,impressed,感心した,
394,occupation,名：職業,"name, address, and occupation",氏名と住所・職業,occupation,職業,
395,existing,形：従来の・既存の,existing customers,従来の顧客,existing,従来の,
396,fluent,形：流ちょうな・堪能な,Applicants must be fluent in Mandarin.,応募者は中国語がペラペラでなければいけません。,fluent,流ちょうな,
397,supervisor,名：上司・責任者,permission from a supervisor,上司の許可,supervisor,上司,
398,focus,動：（注意等を）集中させる 名：焦点・集中,focus on overseas markets,海外市場に集中する,focus,集中,
399,outstanding,形：未払いの・傑出した,outstanding balance,未払いの残高,outstanding,未払いの,
400,conference,名：会議,a large conference room,大きな会議室,conference,会議,
401,consequence,名：(〜が招いた) 結果,a natural consequence,自然な結果,consequence,結果,「悪い結果」を示す際によく使われる。副詞のconsequently（結果として）はパート6の重要語。類：result/outcome
402,sealed,形：密封された,a sealed container,密封された入れ物,sealed,密封された,動：seal（封をする） 例：seal an envelope（封筒に封をする）
403,involved,形：関わった,Tex was not involved with the project.,テックスはそのプロジェクトに関わっていなかった。,involved,関わっていなかった,動：involve（含む・人を巻き込む）
404,urgent,形：緊急の,an urgent request,緊急の依頼,urgent,緊急の,副：urgently（緊急に）
405,via,前：〜を経由して,a flight to Seattle via Denver,デンバー経由シアトル行きの便,via,経由,パート4の空港アナウンスに出る。
406,laboratory,名：研究所・実験室,when entering the laboratory,研究所に入るとき,laboratory,研究所,laboratoryはリスニングセクションでは通常labと略される。「主語＋be動詞」が省略されたwhen Vingの形も押さえる。
407,engagement,名：約束,a previous engagement,前からの約束（先約）,engagement,約束,「ある時間にある場所で何かをする約束や契約のこと」で、limited engagement（期間限定公演）というエンタメ用語が出題されたこともある。動：engage（参加する・従事する）
408,proudly,副：誇らしげに・堂々と,proudly announce,誇らしげに発表する,proudly,誇らしげに,新商品の発表の冒頭等で使われる表現。
409,launch,名：開始・発売 動：開始する・発売する,the launch of a new product,新商品の発売,launch,発売,startの意味。ロケットの打ち上げもlaunch。動詞でも出る。例：launch a product（製品を発売する）
410,significant,形：かなりの・重要な,a significant increase in profits,かなりの利益増,significant,かなりの,TOEICでは「重要な」より「かなりの」の意味の方が頻出。類：considerable/substantial（かなりの） 副詞のsignificantly（かなり）も重要。例：Sales increased significantly.（売上がかなり増えた）
411,substantial,形：かなりの,reduce costs by a substantial amount,かなりの額のコストを削減する,substantial,かなりの,副：substantially（かなり） 類：significant/considerable（かなりの）
412,overall,形：全体の 副：全体として,the overall budget,全体の予算,overall,全体の,"副詞でも出る。例：Overall, our sales increased by 10%.（全体として、当社の売上は10%伸びた）"
413,committed,形：熱心に取り組む・献身的な,We are committed to providing quality service.,当社は質の高いサービスを提供することに熱心に取り組んでいます。,committed,熱心に取り組んでいます,このtoは前置詞なので、後に名詞もしくは動名詞が続く語法にも注意。
414,altogether,副：全部で,"Altogether, 300 people came to the party.",全部で300人がパーティに来場した。,Altogether,全部で,TOEICの世界では、開催されるパーティは100%大成功する。
415,household,形：家庭用の 名：家庭,household products,家庭用製品,household,家庭用,a household name（どこの家庭でも通じる名前）も重要表現。例：Toyota is a household name in Japan.（トヨタは日本の家庭で知られた名前だ）
416,alter,動：変更する,alter the schedule,スケジュールを変更する,alter,変更する,TOEICに登場する「変更する」の類義語：change（変更する）・adjust（調整する）・modify（修正する）・adapt（適合させる）・revise（修正する）・amend（修正する）
417,assure,動：保証する・請け負う,assure Tex that,テックスに〜を保証する,assure,保証する,「that以下のことはsure（間違いない）と請け合う」の意味。「assure+目的語+that S+V」の形を取る語法も重要。Tex has been assured thatの受け身の形でも出題例有り。
418,expose,動：さらす,be directly exposed to the sun,太陽に直接さらされる,exposed,さらされる,名：exposure（さらすこと・暴露）
419,remark,名：(スピーチでの)言葉・コメント・意見 動：コメントする,the opening remarks,開会の言葉,remarks,言葉,「コメント」と考えるとイメージしやすい。形：remarkable（注目に値する） 副：remarkably（非常に）
420,pursue,動：追及する・追い求める,The company is pursuing a new market.,その会社は新しい市場を追い求めている。,pursuing,追い求めている,「何かを時間をかけて追い求める」の意味。名：pursuit（追及）
421,decade,名：10年間・10年,over the past two decades,過去20年間に渡って,decades,20年間,平成10年目の仮面ライダーが「仮面ライダーディケイド」。
422,hesitate,動：ためらう,Please do not hesitate to contact us.,遠慮することなくご連絡ください。,hesitate,遠慮する,フレーズで丸ごと覚えるべき表現。同意表現のPlease feel free to contact us.も重要。また、hesitateは自動詞で受け身にはならないことも押さえておこう。
423,profitable,形：利益になる・もうかる,a more profitable market,より利益になる市場,profitable,利益になる,名：profitability（収益性・利益性） 類：profit（利益）
424,adjustment,名：調整・調節,make adjustments to the plan,計画を調整する,adjustments,調整する,動：adjust（調節する・適応する）
425,component,名：部品,electronic components,電子部品,components,部品,TOEICの世界では、時折、信じられない部品の発注ミスが起きるが、担当者は悪びれた様子もなく明るく対応する。
426,adopt,動：採用する・導入する,adopt a plan,計画を採用する,adopt,採用する,いくつかある選択肢の中からopt（選ぶ）のがadoptの語源。語法問題での出題例があるので、他動詞であることや、a recently adopted plan（最近採用された計画）の形も押さえる。
427,alternative,形：代わりの 名：代案,an alternative date,代わりの日,alternative,代わりの,"副：alternatively（もしくは） 例：Please visit our Web site. Alternatively, you can call us at 1-800-555-1234.（ホームページをご覧ください。もしくは、1-800-555-1234にお電話ください）"
428,mutual,形：共通した・相互の,a mutual interest,共通した興味,mutual,共通した,複数の人が共通して持つ感情やサポートを示す単語。副：mutually（互いに）
429,procedure,名：手続き・手順,a normal procedure,通常の手続き,procedure,手続き,類：process（プロセス・過程）
430,interval,名：間隔,at regular intervals,一定の間隔を置いて（定期的に）,intervals,間隔,例：at two-hour intervals（2時間間隔で）
431,craftspeople,名：職人,artists and craftspeople,芸術家と職人,craftspeople,職人,類：artisan（職人）
432,venue,名：会場,a convention venue,会議の会場,venue,会場,「会議やコンサート等のイベントが行われる場所」を意味するRの頻出語。
433,representative,名：担当者・代表者,a sales representative,営業担当者,representative,担当者,文法問題での頻出語。同様に語尾が-iveで名詞用法がある単語としては、initiative（計画・主導権）・alternative（代替案）・perspective（考え方）・executive（役員）等が重要。
434,transportation,名：輸送手段,by public transportation,公共の交通機関で,transportation,交通機関,public transportともいう。手段を表すbyの用法も重要。例：by train（電車で） 動：transport（輸送する・移す）
435,invest,動：投資する,invest in a new plant,新工場に投資する,invest,投資する,名：investment（投資）
436,affordably,副：手ごろに,affordably priced items,手ごろに値付けられた商品,affordably,手ごろに,affordably pricedのフレーズで覚える。派生語も出題例があるので押さえる。形：affordable（手ごろな価格の） 名：affordability（値ごろ感）
437,findings,名：(研究・調査の)結果・わかったこと,research findings,調査でわかったこと,findings,わかったこと,研究調査の結果、find（見つけた）事柄を指す。単にfindingsともいう。
438,timely,形：タイミングの良い・タイムリーな,timely announcement,タイミングの良い発表,timely,タイミングの良い,timelyは形容詞であることも押さえる。「タイムリーな話題」といった形でカタカナ語にもなっている。
439,promising,形：有望な,the most promising applicant,最も有望な候補者,promising,有望な,文法問題でも狙われるのでing形の形容詞であることも押さえる。
440,tip,名：アドバイス・コツ,travel tips about packing,旅行の際の荷作りのコツ,tips,コツ,類：advice（助言・アドバイス）
441,stable,形：安定した,a stable supply of electricity,電気の安定した供給,stable,安定した,名詞のstability（安定・安定性）も重要。
442,steep,形：大幅な・急な,a steep drop in sales,売上の大幅な落ち込み,steep,大幅な,very sharpのイメージの単語。例：a steep slope（急な坂）
443,confident,形：確信している・自信がある,We are confident that,我々は〜と確信している,confident,確信している,that節を取る形と、confidential（機密の）との意味の違いに注意。名：confidence（確信・自信）
444,convinced,形：確信して,We are convinced that,我々は〜と確信している,convinced,確信している,that節を取る形も重要.動：convince（確信させる） 類：confident（確信している・自信がある）
445,retain,動：保管する,retain a receipt,レシートを保管する,retain,保管する,類：keep（保管する）
446,enclose,動：同封する,Please find enclosed my résumé.,履歴書を同封いたしましたのでご覧ください。,enclosed,同封いたしました,封筒の中に手紙と一緒にclosed（閉じられている）の意味。Enclosed is my résumé.（同封いたしましたのは私の履歴書です）という倒置形でも使われる。類：attach（添付する）
447,acquire,動：買収する・得る・獲得する,acquire a company,会社を買収する,acquire,買収する,acquire（買収する）は他動詞。関連語のmerge（合併する）は自動詞でA merge with B（AがBと合併する）の形を取るのに注意。名：acquisition（買収・獲得）
448,related,形：関連した,experience in a related field,関連した分野での経験,related,関連した,求人広告での必須表現。類：relevant（関連した）
449,definitely,副：間違いなく・絶対に,I definitely need the item.,私は絶対にその品物が必要だ。,definitely,絶対に,TOEICの世界では、「店に来たら目当ての品物が品切れ→店員が別の品を勧める→いいえ、絶対にXXが欲しいんです」と駄々をこねる会話がしばしば耳にされる。
450,excerpt,名：抜粋・引用,an excerpt from a speech,スピーチからの抜粋,excerpt,抜粋,パート4で、「問71-73は次のスピーチからの抜粋に関してです」といった形で使われ、社員や講演者、出演者の紹介が続くケースが多い。
451,distinguish,動：区別する,distinguish between cause and effect,原因と結果を区別する,distinguish,区別する,形容詞のdistinguished（際立って優れた・傑出した）も重要。例：a distinguished professor（名高い教授）
452,relatively,副：比較的,a relatively recent trend,比較的最近のトレンド,relatively,比較的,形：relative（相対的な）
453,thorough,形：徹底的な,thorough review,徹底的な検討,thorough,徹底的な,副詞のthoroughly（徹底的に）も重要。例：The report was thoroughly reviewed.（その報告書は徹底的に見直された）
454,measurement,名：寸法・測定,take measurements of a table,テーブルの寸法を測る,measurements,寸法,動：measure（測定する） 類：dimension（寸法）
455,circumstance,名：状況,under any circumstances,いかなる状況下でも,circumstances,状況,関連表現のunder no circumstances（いかなる状況下でも〜ない）も合わせて押さえる。
456,overcome,動：乗り越える・克服する,overcome the difficulties,困難を乗り越える,overcome,乗り越える,「困難や、問題、障害」の上（over）を越えて来る（come）こと。
457,immense,形：非常に大きな・巨大な,an immense amount of money,非常に大きな額のお金,immense,非常に大きな,副：immensely（非常に）
458,claim,名：申し立て・所有権 動：主張する・所有権を主張する,file a claim,申し立てを行う,claim,申し立て,メーカーや保険会社、裁判所等に、正式に申請を行うこと。名詞でも出る。例：baggage claim（空港の手荷物受取所）
459,panel,名：グループ,a panel of experts,専門家グループ,panel,グループ,panelは、「特定のテーマについて意見を述べるために集まった専門家のグループ」のこと。例：panel discussion（公開討論会）
460,portion,名：部分,the bottom portion of the ticket,チケットの下の部分,portion,部分,TOEICの世界では、半券さえ保管しておけば、店側は無条件に返金・返品・交換に応じてくれる。
461,personnel,名：社員・人事部,all company personnel,全社員,personnel,社員,「人事部」の意味も重要。つづりが似たpersonal（個人の）との違いに注意。
462,restore,動：復旧させる・取り戻す・修復する,Telephone service was restored this morning.,通話サービスは今日の午前中に復旧した。,restored,復旧した,「元の状態に戻す」の意味。古くなった車を新車同様の状態にする「レストア」をテーマにした漫画もある。名：restoration（修復・復旧）
463,conduct,動：実行する・実施する,conduct a survey,アンケート調査を行う,conduct,行う,TOEICマニア100人に、「------- a survey」の空所に入る単語は何、と質問したら、間違いなく9割以上がconductと答える超定番表現。
464,assume,動：引き受ける・思い込む・仮定する,assume responsibility,職務を引き受ける,assume,引き受ける,「思い込む」の意味でも出る。例：I assumed that Tex was out.（テックスは外出していると思い込んでいた） 類：take on（引き受ける）
465,dependable,形：信頼できる,produce dependable cars and trucks,信頼できる車とトラックを生産する,dependable,信頼できる,同じ形容詞のdependent（依存して）との区別は重要。例：be dependent on donations（寄付に依存している） 動：depend（頼る） 名：dependability（信頼性）
466,accurate,形：正確な,accurate sales figures,正確な売上の数字,accurate,正確な,副：accurately（正確に） 名：accuracy（正確性） 類：correct/precise（正確な） 反：inaccurate（不正確な・誤った）
467,appreciate,動：感謝する,I really appreciate your help.,助けていただいて本当に感謝しています。,appreciate,感謝しています,名：appreciation（感謝） 形：appreciative（感謝して） 例：I am appreciative of your help.（助けていただいて感謝しています）
468,primary,形：主な,primary duties,主な任務,primary,主な,副：primarily（主に） 類：main（主な）
469,desirable,形：望ましい,Teaching experience is desirable.,指導経験があることが望ましい。,desirable,望ましい,類義語のpreferred/preferable（望ましい）と合わせて求人広告に頻出。「あれば尚可」の意味であって、「必須条件」ではないことに注意。
470,deposit,名：頭金・敷金 動：預金する,deposit and balance,頭金と残金,deposit,頭金,代金や契約金の一部を最初に支払うのがdepositで、残りがbalance。共にTOEIC頻出語。
471,completion,名：完了・終了,the completion of the project,プロジェクトの完了,completion,完了,派生語と合わせて文法問題でも頻出。副：completely（完全に） ※動詞・形容詞のcompleteについては多義語のページ参照。
472,appropriate,形：適切な・適した,appropriate clothes for a job interview,面接に適した服装,appropriate,適した,類：proper（適切な）
473,challenging,形：困難だがやりがいのある,a challenging task,やりがいのある任務,challenging,やりがいのある,TOEICの世界では、challengingな仕事に挑む意欲のある社員しか存在しない。
474,factor,名：要因・要素,various factors,さまざまな要因,factors,要因,類：element（要素）
475,resident,名：住民・住人,local residents,地元の住民,residents,住民,動：reside（住む） 形：residential（住宅の） 例：residential area（住宅地） 類：residence（住居） 類：inhabitant（住人）
476,proof,名：証拠・証明,proof of purchase,購入の証明,proof,証明,receipt（領収書）の言い換えでパート7で頻出のフレーズ。類：evidence（証拠・証明）
477,vote,動：投票する 名：投票,vote against a proposal,提案に反対票を投じる,vote,反対票を投じる,「〜に賛成票を投じる」はvote in favor of。
478,agreement,名：契約(書)・同意(書),a rental agreement,賃貸契約書,agreement,契約書,「合意」の意味でも出る。例：reach an agreement（合意に達する） 動：agree（同意する）
479,extremely,副：きわめて・非常に,check extremely carefully,非常に丁寧にチェックする,extremely,非常に,副詞を修飾する形は文法問題でも狙われる。
480,physician,名：医師,Michael's personal physician,マイケルの個人医師,physician,医師,Rではdoctorよりもこの単語の方が頻出。
481,track,動：追跡する・たどる 名：線路・追跡,track an order,注文を追跡する,track,追跡する,名詞の「線路」もパート4の駅のアナウンスで出る。
482,status,名：状況・地位,shipment status,配送状況,status,状況,「地位」の意味は、「ステータスが高い」といった形でカタカナ語でも使われている。
483,crop,名：作物・収穫量,locally grown crops,地元で育てられた作物,crops,作物,「収穫量、グループ」の意味もある。例：annual rice crop（年間のコメの収穫量） 類：grain（穀物）・harvest/yield（収穫量）
484,landscaping,名：造園,a landscaping company,造園会社,landscaping,造園,「造園業」はLR両セクションで頻出の職業の一つ。
485,severe,形：深刻な・厳しい,severe damage,深刻なダメージ,severe,深刻な,「天候が厳しい」の意味でも出る。例：severe weather conditions（厳しい気象状況） 類：serious（重大な）
486,luxury,形：高級な 名：高級・ぜいたく,a luxury sedan,高級セダン車,luxury,高級,sedanは4ドア車のことで、パート7の車関連の記事やレポートで出る。類：luxurious（ぜいたくな）
487,output,名：生産高・生産量,daily output of a factory,工場の1日の生産量,output,生産量,人や機械、工場が生み出す生産量のこと。類：production volume（生産量）・production capacity（生産能力）
488,remote,形：人里離れた・可能性が低い,a remote mountain village,人里離れた山村,remote,人里離れた,「可能性が低い」の意味でも出る。例：a remote chance（わずかなチャンス）
489,resolve,動：解決する,The problem was resolved.,問題は解決された。,resolved,解決された,類：solve（解決する）
490,orientation,名：(新入社員向け)説明会,the new employee orientation,新入社員向け説明会,orientation,説明会,不況とは無縁のTOEICの世界では、LRどちらのセクションでも頻繁にオリエンテーションが行われる。
491,packet,名：小包・袋,a packet of materials,袋入りの資料,packet,袋入り,packetは資料の入った紙袋や、砂糖やケチャップが入ったビニールの入れ物を指し、a packet ofで「袋入りの〜」の意味になる。例：an orientation packet（新入社員説明会用資料一式）
492,spacious,形：広々とした・ゆったりした,a spacious room,広々とした部屋,spacious,広々とした,たくさんのspace（スペース）がある、の意味。反：cramped（窮屈な）
493,modest,形：少しの・高価ではない・謙虚な,a modest increase in price,小幅の値上げ,modest,小幅の,"not large, not expensiveの意味。例：a modest hotel（中価格帯のホテル）"
494,impose,動：課す・負わせる・強制する,impose a fee on customers,顧客に料金を課す,impose,課す,「上に置く」が語源で、重荷になるようなものを押し付けるイメージの単語。
495,minimum,名：最小限・最低限 形：最小の・最低限の,a minimum of ten years,最低10年,minimum,最低,「ミニマムの数字」といった形でビジネス用語にもなっている。形容詞の用法も重要。例：the minimum number of people（最少人数） 動：minimize（最小限に抑える） 反：maximum（最大限・最大限の）
496,debate,名：議論・討論,a heated debate,白熱した討論,debate,討論,「ディベート」とカタカナ語にもなっている。類：dispute（いさかい・論争）・discussion（議論）
497,checkup,名：検査・健康診断,a regular checkup,定期的な健康診断,checkup,健康診断,a medical/health checkupともいう。
498,reverse,形：反対の,the reverse side,裏側,reverse,裏側,パート7の文書でback（裏側）との言い換えで使われる単語。
499,organize,動：(イベントなどを)計画する・取りまとめる・組織化する,organize an event,イベントを取りまとめる,organize,取りまとめる,イベントや会議に必要な準備をして段取りを整えたり、チームを組織化したりする際に使われるビジネス基本語。
500,replacement,名：後任・交換・交換品,find a replacement for Tex,テックスの後任を見つける,replacement,後任,「交換、交換品」の意味でも頻出。※動詞のreplaceについては多義語のページ参照。
501,apparent,形：明らかな・明白な,for no apparent reason,明確な理由なしに,apparent,明確な,副：apparently（見たところでは・聞いたところでは）
502,inventory,名：在庫・在庫品・棚卸し,reduce inventory,在庫を減らす,inventory,在庫,「棚卸し（店の在庫を数えること）」の意味でも出る。筆者がかつて勤務していたメーカーでも、毎年「インベントリー」が行われ、自分が企画した商品の在庫の山を見て気分が沈んだことがある。類：stock（在庫）
503,renovate,動：改装する,a newly renovated library,新しく改装された図書館,renovated,改装された,名：renovation（改装） 類：repair（修復する）・remodel（改装する）・restore（修復する） ※reformはシステム等を「改善する」の意味で、「改装する」の意味ではない。
504,reference,名：照会先・照会・参照,contact a reference,照会先に連絡を取る,reference,照会先,ある会社が、応募者の以前の勤務状況を確認するために連絡を取ること、およびその連絡先を指す求人関連の頻出語。「参照」の意味でも出る。例：for your reference（参考用に）
505,consistently,副：常に・変わらず,consistently rank among the top 10 universities,常にトップ10の大学にランクインしている,consistently,常に,形：consistent（一致した・一貫性のある） 名：consistency（一貫性）
506,anticipated,形：待ち望まれた,the highly anticipated new book,非常に期待されている新刊,anticipated,期待されている,動：anticipate（予期する・待ち望む） 名：anticipation（予期・期待）
507,commitment,名：約束・献身,a strong commitment to quality,品質への強い約束,commitment,約束,「企業が果たすべき約束」の意味で「コミットメント」とカタカナ語にもなっている。
508,retail,名：小売,retail stores,小売店,retail,小売,関連語のretailer（小売業者）も頻出。
509,productivity,名：生産性,improve productivity,生産性を改善する,productivity,生産性,動：produce（生産する） 形：productive（生産的な）
510,assign,動：割り当てる・任命する,Tex has been assigned the work.,テックスはその仕事を任された。,assigned,任された,SVOOの形を取るので、受け身でも名詞が続く文型に注意。名：assignment（任務） 類：assigned work（担当業務）
511,renew,動：更新する,renew a contract,契約を更新する,renew,更新する,名：renewal（更新）
512,candidate,名：候補者,a successful candidate,合格するような候補者,candidate,候補者,同意語のapplicant（応募者・候補者）も重要。
513,quote,名：提示価格・引用 動：価格を提示する・引用する,the original quote,最初の提示価格,quote,提示価格,"動詞でも使われ、TOEICでは「価格を提示する」の意味が重要。例：quote $1,000 for the work（その作業に1000ドルの価格を提示する）"
514,swiftly,副：すばやく・迅速に,reply swiftly,すばやく返答する,swiftly,すばやく,形：swift（迅速な・すばやい） 類：quickly/promptly（すばやく）
515,defect,名：欠陥,find even the smallest defects,小さな欠陥でさえも発見する,defects,欠陥,形容詞のdefective（欠陥のある・不良の）も頻出。例：defective merchandise（不良品） 類：flaw（欠陥）
516,economical,形：コストがかからない・無駄がない,an economical printer,低コストのプリンター,economical,低コストの,TOEICの世界では、プリンターの紙切れ・紙詰まり・故障は日常茶飯事。
517,destination,名：目的地・行き先,escort visitors to their destinations,目的地まで旅行者に付き添う,destinations,目的地,「エスコートする」とカタカナ語にもなっているescort（付き添う）もパート5で出題例がある。
518,illustrate,動：(例や図表を使って)説明する,illustrate the point,ポイントを説明する,illustrate,説明する,形：illustrated（絵・図表・写真入りの）
519,dominant,形：支配的な・圧倒的な,a dominant position in the market,市場での圧倒的なポジション,dominant,圧倒的な,「他を圧倒するような」の意味。動：dominate（支配する）
520,promptly,副：すばやく・(時刻)きっかりに・即座に,The meeting starts promptly at 1 P.M.,会議は午後1時ちょうどに始まります。,promptly,ちょうどに,「すばやく」の意味でも頻出。例：respond promptly（すばやく返信する） 形/動：prompt（迅速な・促す） 例：a prompt response（迅速な返事）
521,outdated,形：時代遅れの,outdated TOEIC books,時代遅れのTOEIC本,outdated,時代遅れの,この本がそうならないことを著者として祈っております。
522,agreeable,形：快適な・心地良い・(人が)フレンドリーな,The weather in Auckland is quite agreeable.,オークランドの天気はとても快適です。,agreeable,快適な,「感じがいい、フレンドリーな」といった意味で人にも使われる。類：an agreeable person（感じのいい人） 同：pleasant/amiable/congenial（心地良い・人当たりが良い）
523,occasionally,副：時々,Tex occasionally travels abroad.,テックスは時々海外に出張する。,occasionally,時々,形：occasional（たまの）
524,inspect,動：検査する,inspect a building,建物を検査する,inspect,検査する,in（中）をspect（見る）の意味。名：inspection（検査） 名：inspector（検査官）
525,strategy,名：戦略,a marketing strategy,マーケティング戦略,strategy,戦略,marketing（マーケティング）はTOEIC必須単語で、会社の商品やサービスをより多くの人に知ってもらうための宣伝や販売促進といった活動のこと。形：strategic（戦略的な） 副：strategically（戦略的に）
526,protective,形：防護用の,wear protective clothing,防護用の服を着用する,protective,防護用の,実験室や工場の中で着用する装具を表す単語としてLRどちらにも出る。
527,resume,動：再開する,resume operations,操業を再開する,resume,再開する,「履歴書」とつづりが同じだが、eの上にマークがついていなければこちらの意味。
528,implement,動：実行する・実施する,A new security system was implemented.,新しいセキュリティシステムが実施された。,implemented,実施された,他動詞で、能動態では直後に目的語を取る。動詞の型を問う問題で出題された場合、空所後が前置詞やピリオドなら迷わず受動態を選ぶこと。
529,transition,名：移行・転身,the transition from student to professional,学生から社会人への移行,transition,移行,TOEICの世界では時折、「見習い→採用→部門長→役員→社長」と短期間に驚くべきtransition（移行）を見せる社員が登場する。
530,transform,動：変える,transform a supply room into an office,備品室をオフィスに変える,transform,変える,transform A into B（AをBに変えさせる）のフレーズで押さえる。類：turn A into B（AをBに変える）
531,assemble,動：まとめる・組み立てる,assemble the materials,資料を一つにまとめる,assemble,一つにまとめる,「組み立てる」の意味でも出る。例：assemble a bike（自転車を組み立てる） 名詞のassembly（組み立て）も重要語。例：an assembly line（組み立てライン）
532,alert,動：(重要なことや危険を)知らせる 形：警戒した 名：警報,alert Tex to the problem,テックスに問題を知らせる,alert,知らせる,重要なことや危険を知らせる、の意味で、alert A to B（AにBを知らせる）の形も重要。
533,evaluation,名：評価,performance evaluation,成績評価,evaluation,評価,「成績評価」は、従業員の勤務成績を上司が評価すること。同意語のperformance appraisalやperformance reviewも重要。動詞のevaluate（評価する）も頻出。
